2,13,32,1,-5,7,4,3,7
3,11,28,1,-11,4,5,3,4
2,16,37,19,0,10,3,-1,15
11,33,42,15,-1,4,12,11,1
1,9,31,27,-8,3,1,2,6
7,18,40,31,-5,12,7,7,14
4,14,34,33,5,6,6,4,6
12,34,43,23,-1,5,13,12,1
3,12,32,17,-10,5,5,3,4
9,23,12,-1,0,6,9,8,11
3,15,39,38,15,9,5,3,10
2,13,35,10,-5,7,4,3,7
10,27,38,2,0,9,10,9,15
10,27,35,1,0,7,10,8,13
6,16,35,2,-6,9,7,7,11
12,29,40,8,-1,10,11,10,18
6,16,37,14,-5,10,6,5,11
-2,12,34,11,0,6,0,-6,12
2,14,35,13,-5,7,4,3,8
-1,13,36,25,0,8,1,-5,14
11,33,39,1,-1,1,12,12,-2
3,13,32,7,-3,7,4,3,6
5,14,34,35,9,7,6,5,7
11,28,39,5,-1,9,10,9,15
3,13,35,39,13,6,6,4,6
5,16,37,20,-5,10,6,5,11
10,25,9,-1,0,5,9,10,8
3,12,32,23,-9,5,5,3,4
13,31,43,24,0,9,10,12,15
6,17,38,23,-5,11,6,6,12
3,14,34,7,-5,6,4,3,7
-1,12,35,10,-5,4,2,-1,7
3,15,39,37,10,9,5,4,10
3,12,33,22,-10,4,5,3,4
12,29,43,22,-1,9,11,9,16
2,13,35,36,11,4,6,3,5
-1,11,34,11,-5,4,2,-1,7
-1,14,33,2,0,6,2,-3,11
2,10,33,36,10,4,1,2,7
12,29,33,0,0,7,9,11,13
2,9,32,32,1,4,1,2,7
-1,12,30,1,-1,5,1,-5,12
14,35,40,1,-1,5,13,15,4
4,15,37,30,11,10,4,5,10
3,14,35,37,12,5,6,4,5
7,17,37,15,-5,10,7,7,12
10,28,39,2,-1,8,10,9,14
0,14,35,13,0,8,2,-3,13
14,34,39,0,-1,5,13,15,4
13,30,39,2,0,8,10,12,14
12,33,43,17,-1,4,12,12,0
2,11,33,25,-10,3,4,2,4
2,14,38,35,7,8,5,2,10
11,33,40,3,-1,1,12,12,-2
12,34,42,8,-1,3,13,13,0
8,23,29,1,8,9,7,6,13
13,31,43,20,0,8,10,11,14
12,29,15,-1,0,4,11,13,1
11,28,40,12,0,9,10,9,16
12,33,40,3,-1,2,13,13,0
5,21,24,0,2,4,4,3,8
11,33,43,24,0,1,12,11,0
13,30,39,1,0,8,10,12,14
10,25,31,0,-1,9,7,9,11
14,33,37,0,-1,5,13,14,3
14,34,38,0,-1,5,13,15,4
12,29,35,1,0,7,9,10,14
2,13,34,30,-9,4,5,2,4
13,30,36,1,0,8,10,11,14
7,21,18,0,1,6,6,4,9
5,16,38,20,-5,10,6,6,11
1,9,31,27,-8,3,1,2,6
8,25,33,1,0,7,7,7,13
5,22,33,1,1,6,5,3,11
2,14,37,30,-1,8,4,2,9
-1,12,34,7,-5,4,2,0,7
10,26,32,0,0,7,9,8,14
2,13,35,36,3,4,6,3,5
-2,12,35,19,-5,4,2,-2,7
12,29,40,6,-1,10,11,10,17
2,14,36,27,3,8,4,3,8
13,35,45,33,0,5,13,13,2
4,19,19,0,2,3,3,2,7
3,15,39,39,22,9,5,3,10
10,25,31,0,-1,9,7,9,11
-2,12,32,2,-1,5,0,-5,12
8,25,40,19,-1,8,8,5,15
3,11,33,39,23,6,3,4,8
8,22,25,1,12,8,7,5,12
9,27,40,13,0,8,7,7,14
12,29,35,1,0,8,9,11,13
-2,12,34,14,0,7,0,-6,13
11,28,30,0,0,7,9,11,12
10,24,17,0,0,7,9,8,12
10,32,42,17,-1,0,11,11,-2
13,35,44,20,-1,3,13,13,1
14,34,37,0,-1,5,13,15,3
5,15,32,1,-5,9,6,5,10
12,33,42,17,-1,3,12,12,1
9,25,31,0,0,8,9,8,12
6,23,34,1,0,6,5,3,11
4,13,34,37,15,6,6,4,6
12,30,39,4,0,8,9,11,13
9,25,29,1,-1,9,7,8,11
11,33,43,24,0,1,12,11,0
11,26,28,0,0,8,9,9,14
7,17,38,24,-5,11,7,7,13
10,26,33,1,-1,10,8,9,11
11,33,41,10,-1,3,12,12,0
3,15,39,39,16,9,5,4,10
3,14,35,21,-2,8,4,3,8
9,27,42,23,0,8,8,7,14
8,25,40,19,-1,8,8,4,15
12,33,42,16,-1,3,12,12,0
15,35,41,5,-1,5,13,15,5
12,29,35,1,0,7,9,10,14
2,10,31,29,1,5,2,3,7
12,34,43,21,-1,4,13,13,1
13,35,46,38,16,6,14,13,3
6,17,37,14,-5,10,7,6,12
11,29,35,1,0,7,9,11,13
0,14,35,18,0,8,1,-4,14
10,27,33,1,0,9,10,9,14
3,12,33,24,-9,4,5,3,4
7,17,38,24,-5,11,7,7,13
12,33,39,1,-1,3,12,12,-1
14,34,40,2,-1,5,13,15,4
3,14,38,32,-2,8,5,3,9
11,28,34,1,0,6,9,10,13
6,23,35,1,1,6,5,3,11
7,18,40,32,-4,12,7,7,14
3,14,36,23,-2,7,4,3,7
12,27,33,0,0,11,11,11,16
7,17,37,18,-5,11,7,7,13
10,32,40,9,-1,0,11,11,-2
0,15,36,8,-1,7,2,-3,12
6,17,38,21,-5,10,7,6,12
3,13,33,5,-5,7,4,3,7
2,13,34,10,-4,7,4,2,6
11,33,42,14,-1,4,12,12,0
